rp_n10_p0,20_s2,txt;71;0
rp_n10_p0,20_s3,txt;47;0
rp_n10_p0,20_s1,txt;94;0
rp_n15_p0,20_s2,txt;260;0,01
rp_n15_p0,20_s3,txt;101;0,01
rp_n15_p0,20_s1,txt;154;0
rp_n20_p0,20_s2,txt;595;0,02
rp_n20_p0,20_s1,txt;321;0,01
rp_n20_p0,20_s3,txt;488;0,01
rp_n25_p0,20_s3,txt;1225;0,04
rp_n25_p0,20_s2,txt;460;0,04
rp_n25_p0,20_s1,txt;701;0,03
rp_n30_p0,20_s1,txt;1125;0,06
rp_n30_p0,20_s2,txt;1655;0,07
rp_n30_p0,20_s3,txt;850;0,06
rp_n35_p0,20_s2,txt;4304;0,08
rp_n35_p0,20_s3,txt;3200;0,08
rp_n35_p0,20_s1,txt;5184;0,1
rp_n40_p0,20_s3,txt;5609;0,178
rp_n40_p0,20_s2,txt;3304;0,17
rp_n40_p0,20_s1,txt;3756;0,14
rp_n45_p0,20_s3,txt;7532;0,17
rp_n45_p0,20_s1,txt;6648;0,19
rp_n45_p0,20_s2,txt;2134;0,2
rp_n50_p0,20_s2,txt;8367;0,28
rp_n50_p0,20_s1,txt;8432;0,23
rp_n50_p0,20_s3,txt;5178;0,26
rp_n55_p0,20_s2,txt;8403;0,36
rp_n55_p0,20_s1,txt;10047;0,32
rp_n55_p0,20_s3,txt;10207;0,31
rp_n60_p0,20_s3,txt;13492;0,4
rp_n60_p0,20_s2,txt;15684;0,477
rp_n60_p0,20_s1,txt;7206;0,385
rp_n65_p0,20_s3,txt;14179;0,643
rp_n65_p0,20_s2,txt;12882;0,548
rp_n65_p0,20_s1,txt;25227;0,44
rp_n70_p0,20_s2,txt;13191;0,792
rp_n70_p0,20_s3,txt;31207;0,74
rp_n70_p0,20_s1,txt;12712;0,652
rp_n75_p0,20_s3,txt;19400;0,79
rp_n75_p0,20_s2,txt;21606;0,752
rp_n75_p0,20_s1,txt;17409;0,79
rp_n80_p0,20_s3,txt;28294;0,81
rp_n80_p0,20_s1,txt;37403;0,962
rp_n80_p0,20_s2,txt;27951;0,882
