rp_n100_p0,60_s2,txt;92067;0,773
rp_n100_p0,60_s1,txt;93882;0,804
rp_n100_p0,60_s3,txt;94102;0,801
rp_n200_p0,60_s1,txt;810554;6,318
rp_n200_p0,60_s2,txt;750788;6,05
rp_n200_p0,60_s3,txt;765152;6,217
rp_n300_p0,60_s3,txt;1046842;20,524
rp_n300_p0,60_s1,txt;1258927;20,554
rp_n300_p0,60_s2,txt;947757;20,317
rp_n400_p0,60_s2,txt;1599974;48,025
rp_n400_p0,60_s1,txt;1339394;48,483
rp_n400_p0,60_s3,txt;1491385;48,102
rp_n500_p0,60_s2,txt;1980139;93,661
rp_n500_p0,60_s1,txt;2020850;94,094
rp_n500_p0,60_s3,txt;1819032;93,938
rp_n750_p0,60_s2,txt;2604583;330,005
rp_n750_p0,60_s3,txt;2853952;316,137
rp_n750_p0,60_s1,txt;2808379;324,192
rp_n1000_p0,60_s1,txt;3968840;760,778
rp_n1000_p0,60_s3,txt;3760941;785,386
rp_n1000_p0,60_s2,txt;3692864;755,139
