rp_n100_p0,40_s2,txt;75105;1,212
rp_n100_p0,40_s1,txt;63734;1,4
rp_n100_p0,40_s3,txt;60739;1,27
rp_n200_p0,40_s1,txt;682755;9,672
rp_n200_p0,40_s2,txt;721575;9,35
rp_n200_p0,40_s3,txt;774988;10,118
rp_n300_p0,40_s1,txt;827641;31,925
rp_n300_p0,40_s2,txt;865445;31,54
rp_n300_p0,40_s3,txt;884953;32,032
rp_n400_p0,40_s2,txt;1039138;73,34
rp_n400_p0,40_s3,txt;1407234;72,436
rp_n400_p0,40_s1,txt;1192898;73,208
rp_n500_p0,40_s2,txt;1447053;138,125
rp_n500_p0,40_s1,txt;1434571;138,32
rp_n500_p0,40_s3,txt;1565007;138,12
rp_n750_p0,40_s1,txt;2152627;473,636
rp_n750_p0,40_s3,txt;2269654;484,561
rp_n750_p0,40_s2,txt;2306957;472,092
rp_n1000_p0,40_s3,txt;2935199;1124,9
rp_n1000_p0,40_s2,txt;2764728;1121,61
rp_n1000_p0,40_s1,txt;2818848;1147,84
