rp_n10_p0,40_s2,txt;96;0,01
rp_n10_p0,40_s3,txt;149;0
rp_n10_p0,40_s1,txt;185;0
rp_n15_p0,40_s3,txt;226;0,014
rp_n15_p0,40_s2,txt;304;0,002
rp_n15_p0,40_s1,txt;154;0,01
rp_n20_p0,40_s1,txt;776;0,01
rp_n20_p0,40_s3,txt;425;0,01
rp_n20_p0,40_s2,txt;858;0,02
rp_n25_p0,40_s1,txt;793;0,02
rp_n25_p0,40_s2,txt;735;0,02
rp_n25_p0,40_s3,txt;1120;0,03
rp_n30_p0,40_s2,txt;2219;0,03
rp_n30_p0,40_s1,txt;1604;0,04
rp_n30_p0,40_s3,txt;1649;0,05
rp_n35_p0,40_s3,txt;3373;0,06
rp_n35_p0,40_s1,txt;5480;0,08
rp_n35_p0,40_s2,txt;3583;0,07
rp_n40_p0,40_s1,txt;3597;0,1
rp_n40_p0,40_s3,txt;4139;0,1
rp_n40_p0,40_s2,txt;5318;0,09
rp_n45_p0,40_s2,txt;5453;0,14
rp_n45_p0,40_s1,txt;5990;0,14
rp_n45_p0,40_s3,txt;9847;0,152
rp_n50_p0,40_s1,txt;8861;0,21
rp_n50_p0,40_s2,txt;13940;0,15
rp_n50_p0,40_s3,txt;10689;0,18
rp_n55_p0,40_s2,txt;13497;0,282
rp_n55_p0,40_s1,txt;15276;0,28
rp_n55_p0,40_s3,txt;17134;0,24
rp_n60_p0,40_s3,txt;18198;0,35
rp_n60_p0,40_s2,txt;15903;0,28
rp_n60_p0,40_s1,txt;25204;0,32
rp_n65_p0,40_s2,txt;25053;0,482
rp_n65_p0,40_s3,txt;23432;0,4
rp_n65_p0,40_s1,txt;28058;0,4
rp_n70_p0,40_s1,txt;30401;0,5
rp_n70_p0,40_s2,txt;34584;0,48
rp_n70_p0,40_s3,txt;35735;0,47
rp_n75_p0,40_s3,txt;44377;0,67
rp_n75_p0,40_s2,txt;40693;0,69
rp_n75_p0,40_s1,txt;27281;0,53
rp_n80_p0,40_s3,txt;56211;0,692
rp_n80_p0,40_s1,txt;50986;0,76
rp_n80_p0,40_s2,txt;42514;0,62
