rp_n10_p0,80_s2,txt;127;0
rp_n10_p0,80_s3,txt;137;0
rp_n10_p0,80_s1,txt;142;0
rp_n15_p0,80_s1,txt;458;0
rp_n15_p0,80_s3,txt;749;0,004
rp_n15_p0,80_s2,txt;377;0
rp_n20_p0,80_s1,txt;966;0,01
rp_n20_p0,80_s2,txt;1066;0,01
rp_n20_p0,80_s3,txt;1190;0
rp_n25_p0,80_s3,txt;3065;0,01
rp_n25_p0,80_s2,txt;1296;0,01
rp_n25_p0,80_s1,txt;1957;0
rp_n30_p0,80_s3,txt;2787;0,02
rp_n30_p0,80_s2,txt;2591;0,02
rp_n30_p0,80_s1,txt;3685;0,02
rp_n35_p0,80_s2,txt;4874;0,02
rp_n35_p0,80_s3,txt;5259;0,04
rp_n35_p0,80_s1,txt;6578;0,02
rp_n40_p0,80_s2,txt;9036;0,04
rp_n40_p0,80_s1,txt;7994;0,04
rp_n40_p0,80_s3,txt;8409;0,04
rp_n45_p0,80_s3,txt;12203;0,06
rp_n45_p0,80_s2,txt;11894;0,05
rp_n45_p0,80_s1,txt;10553;0,04
rp_n50_p0,80_s2,txt;22655;0,06
rp_n50_p0,80_s3,txt;18511;0,07
rp_n50_p0,80_s1,txt;13092;0,09
rp_n55_p0,80_s3,txt;21788;0,07
rp_n55_p0,80_s2,txt;16853;0,07
rp_n55_p0,80_s1,txt;24322;0,08
rp_n60_p0,80_s1,txt;27773;0,09
rp_n60_p0,80_s2,txt;34124;0,09
rp_n60_p0,80_s3,txt;28906;0,08
rp_n65_p0,80_s2,txt;33807;0,1
rp_n65_p0,80_s3,txt;34290;0,11
rp_n65_p0,80_s1,txt;36150;0,14
rp_n70_p0,80_s1,txt;44304;0,19
rp_n70_p0,80_s2,txt;30830;0,15
rp_n70_p0,80_s3,txt;33312;0,18
rp_n75_p0,80_s2,txt;48834;0,22
rp_n75_p0,80_s3,txt;48259;0,2
rp_n75_p0,80_s1,txt;44288;0,2
rp_n80_p0,80_s2,txt;60091;0,3
rp_n80_p0,80_s3,txt;60845;0,27
rp_n80_p0,80_s1,txt;59880;0,26
