rp_n100_p0.20_s3.txt,52089,0.062,43729,4.203
rp_n100_p0.20_s2.txt,77989,0.062,47162,3.757
rp_n100_p0.20_s1.txt,108247,0.062,61270,3.829
rp_n200_p0.20_s2.txt,552014,0.265,300338,30.559
rp_n200_p0.20_s3.txt,481778,0.256,362397,30.194
rp_n200_p0.20_s1.txt,441895,0.241,271167,30.557
rp_n300_p0.20_s1.txt,869952,0.558,620298,99.084
rp_n300_p0.20_s3.txt,895040,0.528,602045,113.074
rp_n300_p0.20_s2.txt,658476,0.604,476063,116.573
rp_n400_p0.20_s2.txt,1095011,1.036,783927,238.867
rp_n400_p0.20_s1.txt,1134714,0.9,720106,230.946
rp_n400_p0.20_s3.txt,1040576,0.889,785008,226.234
rp_n500_p0.20_s3.txt,1375777,1.393,949722,456.047
rp_n500_p0.20_s2.txt,1428487,1.637,924671,500.584
rp_n500_p0.20_s1.txt,1216532,1.706,793615,516.314
rp_n750_p0.20_s2.txt,1732928,3.682,1155008,1536.33
rp_n750_p0.20_s3.txt,1925940,3.14,1438639,1518.86
rp_n750_p0.20_s1.txt,1686057,3.201,1259006,1523.92
rp_n1000_p0.20_s2.txt,2501426,5.607,1792864,3492.27
rp_n1000_p0.20_s1.txt,2533964,5.413,1866156,3601.33
rp_n1000_p0.20_s3.txt,2393913,5.606,1739074,3728.65
