rp_n10_p0.80_s2.txt,137,153,137
rp_n10_p0.80_s3.txt,225,165,345
rp_n10_p0.80_s1.txt,132,150,201
rp_n15_p0.80_s1.txt,426,601,471
rp_n15_p0.80_s3.txt,392,665,555
rp_n15_p0.80_s2.txt,483,869,483
rp_n20_p0.80_s1.txt,1063,1484,1323
rp_n20_p0.80_s2.txt,2177,1724,1931
rp_n20_p0.80_s3.txt,1314,1655,1815
rp_n25_p0.80_s3.txt,2712,3486,2712
rp_n25_p0.80_s2.txt,3504,2908,3526
rp_n25_p0.80_s1.txt,2656,3167,3438
rp_n30_p0.80_s3.txt,3729,2601,4357
rp_n30_p0.80_s2.txt,3964,2741,3964
rp_n30_p0.80_s1.txt,3973,3737,4687
rp_n35_p0.80_s2.txt,7500,7818,7446
rp_n35_p0.80_s3.txt,6931,8082,7244
rp_n35_p0.80_s1.txt,8413,9049,8922
rp_n40_p0.80_s2.txt,14798,12871,16679
rp_n40_p0.80_s1.txt,9439,13623,11693
rp_n40_p0.80_s3.txt,11512,13555,11822
rp_n45_p0.80_s3.txt,17956,12220,23182
rp_n45_p0.80_s2.txt,18141,13782,20346
rp_n45_p0.80_s1.txt,13120,12953,16483
rp_n50_p0.80_s2.txt,26231,27319,27614
rp_n50_p0.80_s3.txt,23038,13574,30925
rp_n50_p0.80_s1.txt,23588,18641,29211
rp_n55_p0.80_s3.txt,31940,24388,32380
rp_n55_p0.80_s2.txt,35361,25977,33404
rp_n55_p0.80_s1.txt,35299,38223,44279
rp_n60_p0.80_s1.txt,30620,40210,43822
rp_n60_p0.80_s2.txt,37897,33934,53029
rp_n60_p0.80_s3.txt,41463,41306,45569
rp_n65_p0.80_s2.txt,44700,46508,48058
rp_n65_p0.80_s3.txt,45675,45811,48422
rp_n65_p0.80_s1.txt,44933,28310,54799
rp_n70_p0.80_s1.txt,62853,57677,62354
rp_n70_p0.80_s2.txt,63453,41335,68658
rp_n70_p0.80_s3.txt,74185,48209,80678
rp_n75_p0.80_s2.txt,70012,60177,69955
rp_n75_p0.80_s3.txt,56815,93716,74445
rp_n75_p0.80_s1.txt,72112,51226,89145
rp_n80_p0.80_s2.txt,77855,69363,110010
rp_n80_p0.80_s3.txt,81485,79132,88006
rp_n80_p0.80_s1.txt,91424,106736,102411
