../large-instances/rp_n100_p0.80_s1.txt,106766,0.001
../large-instances/rp_n100_p0.80_s3.txt,87690,0.001
../large-instances/rp_n100_p0.80_s2.txt,109568,0
../large-instances/rp_n200_p0.80_s2.txt,916458,0.005
../large-instances/rp_n200_p0.80_s3.txt,817013,0.004
../large-instances/rp_n200_p0.80_s1.txt,884295,0.005
../large-instances/rp_n300_p0.80_s3.txt,1138302,0.013
../large-instances/rp_n300_p0.80_s1.txt,1361651,0.014
../large-instances/rp_n300_p0.80_s2.txt,1335768,0.014
../large-instances/rp_n400_p0.80_s2.txt,1634313,0.033
../large-instances/rp_n400_p0.80_s1.txt,1643771,0.033
../large-instances/rp_n400_p0.80_s3.txt,1549121,0.035
../large-instances/rp_n500_p0.80_s1.txt,2143060,0.067
../large-instances/rp_n500_p0.80_s3.txt,1962553,0.062
../large-instances/rp_n500_p0.80_s2.txt,1897806,0.061
../large-instances/rp_n750_p0.80_s3.txt,2840572,0.195
../large-instances/rp_n750_p0.80_s1.txt,3178319,0.199
../large-instances/rp_n750_p0.80_s2.txt,2917982,0.197
../large-instances/rp_n1000_p0.80_s3.txt,3775531,0.466
../large-instances/rp_n1000_p0.80_s1.txt,3938470,0.468
../large-instances/rp_n1000_p0.80_s2.txt,3891059,0.47
